job_id,title,company,location,salary,skills,posted_at,closes_at,url,scraped_at
52047388,"퓨처메인 AI,머신러닝 엔지니어채용",퓨처메인(주),경기수원시 영통구 경력무관 대졸↑ 정규직,경기수원시 영통구 | 경력무관 | 대졸↑ | 정규직,등록일 25/10/15,~ 11/14(금),입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52047388&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c12b664a-de49-4cfb-8887-524173a0d950,2025-11-11T06:03:24.245369
51899483,클라우드 AI/ML Engineer 채용,메가존클라우드(주),경기과천시 경력무관 학력무관 정규직,경기과천시 | 경력무관 | 학력무관 | 정규직,수정일 25/09/23,상시채용,홈페이지 지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51899483&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c12b664a-de49-4cfb-8887-524173a0d950,2025-11-11T06:03:24.246984
52189615,머신러닝 엔지니어O명 모집,(주)누리랩,서울영등포구 경력3년↑ 대졸↑ 정규직,서울영등포구 | 경력3년↑ | 대졸↑ | 정규직,등록일 25/10/31,~ 11/30(일),입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52189615&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c12b664a-de49-4cfb-8887-524173a0d950,2025-11-11T06:03:24.248488
52087102,머신러닝엔지니어 채용(Machine Learning Engineer),한국인식산업(주),서울구로구 경력 대졸↑ 정규직,서울구로구 | 경력 | 대졸↑ | 정규직,수정일 25/10/20,~ 11/19(수),입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52087102&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c12b664a-de49-4cfb-8887-524173a0d950,2025-11-11T06:03:24.249883
52248643,머신러닝 연구원/엔지니어,(주)에이아이파크,서울마포구 경력 3~10년 대졸↑ 정규직,서울마포구 | 경력 3~10년 | 대졸↑ | 정규직,수정일 25/11/11,~ 12/10(수),입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52248643&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c12b664a-de49-4cfb-8887-524173a0d950,2025-11-11T06:03:24.251327
50972921,ML Engineer (LLM/ML Ops),토스증권(주),서울강남구 경력무관 학력무관 정규직,서울강남구 | 경력무관 | 학력무관 | 정규직,수정일 25/10/30,~ 11/15(토),홈페이지 지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50972921&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c12b664a-de49-4cfb-8887-524173a0d950,2025-11-11T06:03:24.252983
51067949,머신러닝 엔지니어(2년이상),(주)코딧,서울영등포구 경력2년↑ 학력무관 정규직,서울영등포구 | 경력2년↑ | 학력무관 | 정규직,수정일 25/11/11,채용시,입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51067949&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c12b664a-de49-4cfb-8887-524173a0d950,2025-11-11T06:03:24.254362
52055536,AI 연구소 ML Ops 엔지니어,(주)인피닉,서울강남구 경력 3~6년 대졸↑ 계약직,서울강남구 | 경력 3~6년 | 대졸↑ | 계약직,수정일 25/10/17,~ 11/15(토),입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52055536&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c12b664a-de49-4cfb-8887-524173a0d950,2025-11-11T06:03:24.255922
52086429,[인공지능솔루션] ML Engineer,(주)제논,서울강남구 경력 3~20년 대졸↑ 정규직,서울강남구 | 경력 3~20년 | 대졸↑ | 정규직,수정일 25/10/20,~ 11/18(화),입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52086429&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c12b664a-de49-4cfb-8887-524173a0d950,2025-11-11T06:03:24.257291
52148805,[경력] AI/ML 엔지니어,(주)브라이센코리아,경기수원시 팔달구 경력2년↑ 학력무관 정규직,경기수원시 팔달구 | 경력2년↑ | 학력무관 | 정규직,수정일 25/10/27,채용시,입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52148805&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c12b664a-de49-4cfb-8887-524173a0d950,2025-11-11T06:03:24.258660
