title,company,url,location,career,education,salary_etc,job_category,due_date
패널딥데이터센터 데이터사이언스팀데이터 분석가(신입/경력),(주)마크로밀엠브레인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52242444&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=1407ebc5-dcbd-473e-bb4d-e5055971ac5b,서울서초구,신입·경력,N/A,대졸↑,"데이터엔지니어, 통계/분석, 데이터분석가, 데이터분석, 데이터시각화",~ 12/06(토)
[Catalyst]데이터 분석인턴 (3개월 후 정규전환형),콘센트릭스서비스코리아(유),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52120207&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=1407ebc5-dcbd-473e-bb4d-e5055971ac5b,서울강남구,신입,N/A,학력무관,"데이터엔지니어, 데이터분석가, 데이터라벨링, 데이터 사이언티스트, IT컨설팅",~ 11/30(일)
인공지능 및데이터 분석직무 채용 공고,(주)싸인랩,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52260531&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=1407ebc5-dcbd-473e-bb4d-e5055971ac5b,부산부산진구,경력무관,N/A,학력무관,"데이터분석가, 데이터마이닝, 데이터라벨링, 머신러닝, 딥러닝",~ 12/10(수)
데이터 분석가 신입 채용,파워메카(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52155472&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=1407ebc5-dcbd-473e-bb4d-e5055971ac5b,서울금천구,신입,N/A,대졸↑,"데이터엔지니어, 데이터분석가, 데이터시각화, 데이터마이닝, 빅데이터",~ 11/27(목)
2025 데이터분석 전문가 신입·경력 모집,(주)베가스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52099715&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=1407ebc5-dcbd-473e-bb4d-e5055971ac5b,서울중구,신입·경력,N/A,석사↑,"데이터분석가, 데이터 사이언티스트, 빅데이터, AI(인공지능), Python",~ 11/20(목)
[외국계/삼성역/신입가능] 중견기업 데이터분석가(DA) 채용,(주)사람인에이치에스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52066444&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=1407ebc5-dcbd-473e-bb4d-e5055971ac5b,서울강남구,경력무관,N/A,학력무관,"데이터엔지니어, 매출관리, 데이터분석가, 데이터분석, 데이터시각화",N/A
유통부문 운영전략팀데이터 분석담당,(주)크레이버코퍼레이션,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52187632&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=1407ebc5-dcbd-473e-bb4d-e5055971ac5b,서울강남구,경력,N/A,대졸↑,"데이터분석, 실적관리, 트렌드분석, 판매전략, 시장조사",~ 11/29(토)
[쇼핑엔티] 홈쇼핑 데이터 사이언티스트(데이터 분석담당) 채용,(주)티알엔,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52253433&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=1407ebc5-dcbd-473e-bb4d-e5055971ac5b,서울중구,경력 3~15년,N/A,대졸↑,"통계/분석, 데이터분석가, 데이터분석, 데이터시각화, 실적관리",~ 11/30(일)
"미디어채널, 데이터분석, 솔루션 기획 부문 경력 채용",(주)이엠넷,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52253987&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=1407ebc5-dcbd-473e-bb4d-e5055971ac5b,서울구로구,경력1년↑,N/A,대졸↑,"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 경영분석",~ 11/23(일)
[쿠팡] 카탈로그 운영데이터 분석가,쿠팡(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52176392&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=1407ebc5-dcbd-473e-bb4d-e5055971ac5b,서울송파구,경력3년↑,N/A,대졸↑,"데이터분석가, 데이터분석, 데이터시각화, 데이터라벨링, SQL",~ 11/29(토)
